dialog,movie,character,_id
Pippin!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfbe6,5cd96e05de30eff6ebcce863
Bless my bark!,5cd95395de30eff6ebccde5d,5cd9d533844dc4c55e47afed,5cd96e05de30eff6ebcce864
Peregrin Took. I'll take that my lad! Quickly now!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea0,5cd96e05de30eff6ebcce865
Do not come between the Nazg'l and his prey.,5cd95395de30eff6ebccde5d,5cd9d576844dc4c55e47afee,5cd96e05de30eff6ebcce866
" Late as usual, pirate scum. , There's knifework here needs doing. Come on you sea rats, get off your ships. ",5cd95395de30eff6ebccde5d,5cdbe49b7ed9587226e794a0,5cd96e05de30eff6ebcce867
You see Mr Frodo some luck at last!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfd0d,5cd96e05de30eff6ebcce868
" Move it, you slugs! ",5cd95395de30eff6ebccde5d,5cdbe49b7ed9587226e794a0,5cd96e05de30eff6ebcce869
Come on! Faster!,5cd95395de30eff6ebccde5d,5cdbe49b7ed9587226e794a0,5cd96e05de30eff6ebcce86a
" Come along you scum! , I'll whip you down to the bone! Come on! What have I told you. , Get up! , Come on you slugs! You two are going straight to the front line! Move it, come on! Fall in! Move it! Move it! Move it! ",5cd95395de30eff6ebccde5d,5cdbe49b7ed9587226e794a0,5cd96e05de30eff6ebcce86b
" To the gate you slugs, now move it! , Don't you know we're at war? ",5cd95395de30eff6ebccde5d,5cdbe49b7ed9587226e794a0,5cd96e05de30eff6ebcce86c
Company halt! Inspection!,5cd95395de30eff6ebccde5d,5cdbe49b7ed9587226e794a0,5cd96e05de30eff6ebcce86d
You fool! No man can kill me. Die now!,5cd95395de30eff6ebccde5d,5cd9d576844dc4c55e47afee,5cd96e05de30eff6ebcce86e
" There's plenty for the both of us, may be best Dwarf win! ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfd23,5cd96e05de30eff6ebcce86f
I am no man!,5cd95395de30eff6ebccde5d,5cdbdecb6dc0baeae48cfa59,5cd96e05de30eff6ebcce870
Mr Frodo!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfd0d,5cd96e05de30eff6ebcce871
Sam! Help me!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc15,5cd96e05de30eff6ebcce872
Stand up Mr Frodo. Stand up!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfd0d,5cd96e05de30eff6ebcce873
" Get off of me! , Nobody pushes me you filthy maggot! , Get off of me! ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfd0d,5cd96e05de30eff6ebcce874
Retreat! The city is breached. Fall back to the second level. Get the women and children out. Get them out. Retreat.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea0,5cd96e05de30eff6ebcce875
" Come on, come on! ",5cd95395de30eff6ebccde5d,5cdbe49b7ed9587226e794a0,5cd96e05de30eff6ebcce876
Move into the city. Kill all in your path.,5cd95395de30eff6ebccde5d,5cdbdecb6dc0baeae48cfa96,5cd96e05de30eff6ebcce877
Break it up! Break it up!,5cd95395de30eff6ebccde5d,5cdbe49b7ed9587226e794a0,5cd96e05de30eff6ebcce878
Oy! I'll have your guts if you don't shut this rabble down!,5cd95395de30eff6ebccde5d,5cdbe49b7ed9587226e794a0,5cd96e05de30eff6ebcce879
It's so heavy!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc15,5cd96e05de30eff6ebcce87a
